Galaxy name, Designations, Constellation, Name meaning

Andromeda,M31,Andromeda,Andromeda is the daughter of the kings of Ethiopia and is said to be more beautiful than the Nereids.

Antennae Galaxy,NGC 4038,Corvus,This is a dual galaxy.

Backward Galaxy,NGC 4622,Centaurus,It seems to rotate in the opposite direction to what it should according to its shape.

Black Eye Galaxy,Evil Eye Galaxy,Coma Berenices,It looks like an eye with a dark stripe underneath.

Bode’s Galaxy,M81,Ursa Major,Named after the astronomer who discovered it, Johann Elert Bode.

Butterfly Galaxies,NGC 4567,Virgo,Binary galaxies. It looks like a pair of butterfly wings.

Cartwheel Galaxy,PGC 2248,Sculptor,It looks a bit like a cartwheel.
